Date,BTC,SPX
2024-05-22,69122.3359375,5307.009765625
2024-05-23,67929.5625,5267.83984375
2024-05-24,68526.1015625,5304.72021484375
2024-05-28,68296.21875,5306.0400390625
2024-05-29,67578.09375,5266.9501953125
2024-05-30,68364.9921875,5235.47998046875
2024-05-31,67491.4140625,5277.509765625
2024-06-03,68804.78125,5283.39990234375
2024-06-04,70567.765625,5291.33984375
2024-06-05,71082.8203125,5354.02978515625
2024-06-06,70757.1640625,5352.9599609375
2024-06-07,69342.5859375,5346.990234375
2024-06-10,69512.28125,5360.7900390625
2024-06-11,67332.03125,5375.31982421875
2024-06-12,68241.1875,5421.02978515625
2024-06-13,66756.3984375,5433.740234375
2024-06-14,66011.09375,5431.60009765625
2024-06-17,66490.296875,5473.22998046875
2024-06-18,65140.74609375,5487.02978515625
2024-06-20,64828.65625,5473.169921875
2024-06-21,64096.19921875,5464.6201171875
2024-06-24,60277.4140625,5447.8701171875
2024-06-25,61804.640625,5469.2998046875
2024-06-26,60811.27734375,5477.89990234375
2024-06-27,61604.80078125,5482.8701171875
2024-06-28,60320.13671875,5460.47998046875
2024-07-01,62851.98046875,5475.08984375
2024-07-02,62029.015625,5509.009765625
2024-07-03,60173.921875,5537.02001953125
2024-07-05,56662.375,5567.18994140625
2024-07-08,56705.09765625,5572.85009765625
2024-07-09,58009.2265625,5576.97998046875
2024-07-10,57742.49609375,5633.91015625
2024-07-11,57344.9140625,5584.5400390625
2024-07-12,57899.46484375,5615.35009765625
2024-07-15,64870.15234375,5631.22021484375
2024-07-16,65097.1484375,5667.2001953125
2024-07-17,64118.79296875,5588.27001953125
2024-07-18,63974.06640625,5544.58984375
2024-07-19,66710.15625,5505.0
2024-07-22,67585.25,5564.41015625
2024-07-23,65927.671875,5555.740234375
2024-07-24,65372.1328125,5427.1298828125
2024-07-25,65777.2265625,5399.22021484375
2024-07-26,67912.0625,5459.10009765625
2024-07-29,66819.9140625,5463.5400390625
2024-07-30,66201.015625,5436.43994140625
2024-07-31,64619.25,5522.2998046875
2024-08-01,65357.5,5446.68017578125
2024-08-02,61415.06640625,5346.56005859375
2024-08-05,53991.45703125,5186.330078125
2024-08-06,56034.31640625,5240.02978515625
2024-08-07,55027.4609375,5199.5
2024-08-08,61710.13671875,5319.31005859375
2024-08-09,60880.11328125,5344.16015625
2024-08-12,59354.515625,5344.39013671875
2024-08-13,60609.56640625,5434.43017578125
2024-08-14,58737.26953125,5455.2099609375
2024-08-15,57560.09765625,5543.22021484375
2024-08-16,58894.10546875,5554.25
2024-08-19,59493.453125,5608.25
2024-08-20,59012.79296875,5597.1201171875
2024-08-21,61175.19140625,5620.85009765625
2024-08-22,60381.9140625,5570.64013671875
2024-08-23,64094.35546875,5634.60986328125
2024-08-26,62880.66015625,5616.83984375
2024-08-27,59504.1328125,5625.7998046875
2024-08-28,59027.625,5592.18017578125
2024-08-29,59388.1796875,5591.9599609375
2024-08-30,59119.4765625,5648.39990234375
